1,ivan.ivanov42@example.com,$2a$10$HyKVUZhNaBjYWiL6DFL/0u9iSqBiB4TtSFJMeCi3oW2p3bHyCq9.W,USER,Иван Иванов,,,,,,,
2,aigerimok@example.com,$2a$10$pD0PRdYewm8KzJlgYVAtnOYJfbily2P0q31d87sXcU8kUzhfIbJ3S,USER,Aigerim,,,,,,,
4,ivan.ivanov422@example.com,$2a$10$x6OCS5uu36Ysm.xoQIrOIu7f0v7KbwpE8DPjYEoeEqOVr5gMX2nBu,USER,Иван Иванов,,,,,,,
5,ivan.ivanovf422@example.com,$2a$10$mhOlTlUX0/fpdStdjBQEEuOItQL25eabA2KLAVXA8bOkXM.1JpNje,USER,Иван Иванов,21984y1289489124612896424,,,,,,
6,ivan.ivanovdf422@example.com,$2a$10$rnZ/9wb.X1J7/mIAF90Z3.kjpZtvzVe4Sc.rKd34s3DP.zrwhO7LW,USER,Иван Иванов,,,,,,,
7,Nursadyk,$2a$10$ikyHEAxqPG7jQjonIZKkN.a67GBX1htJdYwBOM2p/oi2uPtt53VM.,USER,Eldos,ksjfnkjnfkanefk,,,,,,
8,Nursad7yk,$2a$10$fi5M.TLhtvw5ZKZzAM2JF.tK2wQB.kfMwnW8tour5HCvMDJitxySC,USER,Eldos,ksjfnkjnfkanefk,,,,,,
9,wpofwoefi,$2a$10$JCGKbLCnJTGHHbN0ZnK7MeSUM1VrMAbftRYdYRxK9JpW34YtRGvtu,USER,woefpi,mock-device-token,,,,,,
11,dilnaz@email.com,$2a$10$JsHL9AfddbBMTejNCnkop.2a4c8VV/hUY.IIJAYZAiW9sb6093XzK,USER,Дильназ,mock-device-token,,г. Алматы,1994-09-07,female,162,76
10,dana@email.com,$2a$10$ugaJ/UG1lgsKNcEnwt0oHujGHGSmd0FfFto.QkC.dUQwoe3IvH04i,USER,Дильназ,deviceToken,,г. Алматы,2001-09-07,female,162,39
12,ooo@email.com,$2a$10$I4055d9u2GsdqUDKmaM./OYxXgk72nQxMkUk9Z4digAbh3O9MBod6,USER,Айгерим Омирзак,mock-device-token,,,,,,
13,ooooo@email.com,$2a$10$prv6TBEVmfxg9h7CzpLh.OjG57wTnToLxQGpx.Yip3XZOwATMUT1.,USER,Aigerim,mock-device-token,,,,,,
14,meruert@email.com,$2a$10$cAys8zgoGjogOHtReFTwBOCjpKYn1NnSVrDEuLK/C.dM8Qr4wal/e,USER,Meruert,mock-device-token,,,,,,
